"Model","Scenario","Region","Variable","Unit","2005","2010","2015","2020","2025","2030","2035","2040","2045","2050","2055","2060","2065","2070","2075","2080","2085","2090","2095","2100"
"REMIND-MAgPIE 2.1-4.2","EN_NPi2020_400f","Rest of the World (R10)","Carbon Sequestration|CCS|Biomass|Energy|Supply|Electricity","Mt CO2/yr",0,0,0,0.3439,1.864,4.9535,9.1431,13.7702,18.5188,22.4863,24.5104,24.6137,"",21.8789,"",19.8888,"",21.8403,"",23.8656
"REMIND-MAgPIE 2.1-4.2","EN_NPi2020_400f","Rest of the World (R10)","Secondary Energy|Electricity","EJ/yr",4.7285,5.1189,5.3069,5.5103,5.8503,6.782,7.998799999999999,9.382,10.9252,12.2818,13.3922,14.5151,"",18.7251,"",26.9085,"",37.8066,"",46.1758
"REMIND-MAgPIE 2.1-4.2","EN_NPi2020_400f","Rest of the World (R10)","Emissions|CO2|Energy|Supply|Electricity","Mt CO2/yr",438.1189,422.5962,391.0455,252.3287,93.0344,15.63,-3.3867,-8.0799,-9.8825,-11.7817,-13.1772,-14.1842,"",-15.7279,"",-18.5105,"",-21.7802,"",-23.8159
"WITCH 5.0","EN_NPi2020_400f","North America; primarily the United States of America and Canada","Carbon Sequestration|CCS|Biomass|Energy|Supply|Electricity","Mt CO2/yr","",0.0018431547662713,0.0013835937780244,0.0018302216061018,46.53505232948183,70.3489561713876,262.35843697411417,449.4445077764882,706.2231321070408,847.1639215059005,944.098663072615,1051.228660579607,1164.49298974753,1583.3034847616068,2037.124776192095,2178.284753372799,2145.8931029491578,2271.733837285396,2380.745729433428,2440.18258210733
"WITCH 5.0","EN_NPi2020_400f","North America; primarily the United States of America and Canada","Secondary Energy|Electricity","EJ/yr","",17.65135113857645,17.56344599552967,20.782445900470226,17.64056715651235,17.7462274891469,25.58733880620247,33.58545742988841,41.15846156905072,46.03838934106151,50.48793007194688,54.25838731288586,57.56132443028805,61.825090498098405,66.82401093899895,69.3755436441342,71.1891878503608,73.0748562793737,74.6639383696372,76.32252325007231
"WITCH 5.0","EN_NPi2020_400f","North America; primarily the United States of America and Canada","Emissions|CO2|Energy|Supply|Electricity","Mt CO2/yr","",2371.655492789826,2213.0571845004374,2608.714160533231,1029.0696021096849,157.2024993871469,-283.1566355301404,-502.5761864997019,-801.2321772766625,-966.8025766741972,-1082.450677859564,-1210.061027016308,-1345.476630159712,-1830.719733670951,-2357.497135592552,-2529.759283676175,-2506.565511818572,-2667.35053075213,-2797.97299826271,-2866.85345191205
"WITCH 5.0","EN_NPi2020_400f","Eastern and Western Europe (i.e., the EU28)","Carbon Sequestration|CCS|Biomass|Energy|Supply|Electricity","Mt CO2/yr","",0.0011035189579105,1.06495551706167e-8,0.0024688342823865,7.92572504246331,58.8218177225332,283.580329017327,485.801378962956,567.782740110234,447.853872151282,353.283569797245,290.456853626639,322.757807827888,422.019467353737,579.56801588076,651.053883396277,676.069161151123,706.178357136627,739.768032033323,774.8174183044389
"WITCH 5.0","EN_NPi2020_400f","Eastern and Western Europe (i.e., the EU28)","Secondary Energy|Electricity","EJ/yr","",12.9842898940096,12.3540634356868,13.5823861462351,12.9111747651555,16.2317638410149,21.7141729904259,24.9414262771479,28.7714091269725,30.9766410928145,33.5810397823768,35.5818596639295,36.7496897060649,38.0683995008429,39.5869611834931,40.8001969074703,41.0335168603366,41.1158248353272,41.1213612873721,41.2697022102631
"WITCH 5.0","EN_NPi2020_400f","Eastern and Western Europe (i.e., the EU28)","Emissions|CO2|Energy|Supply|Electricity","Mt CO2/yr","",1338.74351246118,1179.33860578542,1040.09540753021,68.0602682870782,-56.931388220247,-331.918332218026,-571.617827947101,-668.990141699785,-527.927912353936,-416.484494320113,-342.468115973666,-380.711333324889,-497.99731053175,-684.060015773086,-768.481693707908,-798.045898215732,-833.6114463667329,-873.267493564927,-914.666667160703
"WITCH 5.0","EN_NPi2020_400f","Pacific OECD","Carbon Sequestration|CCS|Biomass|Energy|Supply|Electricity","Mt CO2/yr","",0.0019387719944883,2.1669005412047e-8,2.14709340645877e-8,2.963310587167534,51.95902445304391,120.1841388699317,205.8842707290964,323.5090329310445,432.6409809675888,393.0001215003143,375.242737822541,425.560622212433,454.2307988015529,488.152294173444,555.128302317288,570.549220596026,547.541188107608,437.7967833783534,469.3001019584261
"WITCH 5.0","EN_NPi2020_400f","Pacific OECD","Secondary Energy|Electricity","EJ/yr","",6.652686957168259,6.71722142717441,7.680605702514319,5.221485655783641,5.968369774046369,7.425014696294309,8.563020984264021,9.90376139161628,11.39781127782455,13.03178152148194,14.04617429215038,14.79889848548315,15.46405724922422,16.27905929697812,17.05198962204706,17.50182552860837,17.81579980860695,17.93795935040714,18.42485743851023
"WITCH 5.0","EN_NPi2020_400f","Pacific OECD","Emissions|CO2|Energy|Supply|Electricity","Mt CO2/yr","",1002.0786501757862,1113.2512028538,1201.154897990469,202.1352391157291,-24.31103224005734,-132.807212347387,-247.5443454485852,-403.4323507619027,-550.1595655399194,-488.93625599051074,-452.801096606894,-505.310307642094,-539.463683209126,-583.857961181076,-672.1038375619339,-693.612609177678,-676.967015537776,-572.0313482868091,-609.7286783756919
"WITCH 5.0","EN_NPi2020_400f","Reforming Economies of Eastern Europe and the Former Soviet Union; primarily Russia","Carbon Sequestration|CCS|Biomass|Energy|Supply|Electricity","Mt CO2/yr","",0.0008420411792701,0.0014610789551355,0.0019376864238878,5.39964493073852,15.6592021959348,30.4348117164474,52.13637574365421,81.9220977829565,121.404271502848,172.739367810224,238.748761618749,323.076883553821,429.787792711068,453.186153794835,476.58331698443,496.553739881384,516.523404403647,535.0599412344641,553.5959979459279
"WITCH 5.0","EN_NPi2020_400f","Reforming Economies of Eastern Europe and the Former Soviet Union; primarily Russia","Secondary Energy|Electricity","EJ/yr","",5.99332595182302,6.623561846982829,9.31602278842669,8.39808290594392,7.12019224157143,7.66931147432886,10.2877769852904,13.9338207984856,17.1077762309243,21.1469091233779,26.79735878892651,29.5868742542766,32.4488402735809,35.2136626807378,38.03617990624221,40.0694696644116,41.9554562813169,43.7695694135917,45.8318295694211
"WITCH 5.0","EN_NPi2020_400f","Reforming Economies of Eastern Europe and the Former Soviet Union; primarily Russia","Emissions|CO2|Energy|Supply|Electricity","Mt CO2/yr","",1291.29405907161,1333.02751838042,1928.12521937803,1177.94654219073,485.243194234842,106.346911722883,-77.5881937270557,-131.717967277183,-199.752421681899,-294.288123302464,-414.77261540653,-565.534721713946,-755.491176623862,-797.9608257920551,-840.208515214053,-876.134078312871,-912.018018516777,-945.456698654154,-978.694763928557
"WITCH 5.0","EN_NPi2020_400f","Countries of centrally-planned Asia; primarily China","Carbon Sequestration|CCS|Biomass|Energy|Supply|Electricity","Mt CO2/yr","",0.0013112969383278,1.07611161675062e-8,1.06627513030866e-8,8.98348528898623,34.9404080520369,83.89525569898942,136.871333237568,205.880024221839,162.394546641844,128.103941398295,79.41769318726841,30.4818260755187,3.53350560547353,12.9182009111343,52.94415562558989,77.7461019814142,73.6972319272428,67.1804266161173,63.3034593180698
"WITCH 5.0","EN_NPi2020_400f","Countries of centrally-planned Asia; primarily China","Secondary Energy|Electricity","EJ/yr","",16.1840493628343,21.9505422271302,24.9880236964767,16.5014498283482,21.4337993718623,29.1114128909364,38.7904008912334,46.0394755478281,51.2723768411645,56.71653115698049,60.705220304557,62.5444605276314,65.8731119609962,69.0421548950328,70.7856977123925,71.6723763551052,72.42822233202091,72.9835600507109,72.5265234197122
"WITCH 5.0","EN_NPi2020_400f","Countries of centrally-planned Asia; primarily China","Emissions|CO2|Energy|Supply|Electricity","Mt CO2/yr","",3749.704688044221,4456.15132473075,3676.587268330829,176.387417554255,69.7961761372111,-0.0738932628783964,-128.860805873362,-195.165423926194,-147.594967344221,-112.436367011195,-60.83961887181771,-5.56067246149194,28.4315889040797,24.3348363151038,-13.5483459093901,-38.9599958199889,-34.8434978410767,-28.4022556937168,-26.5631568161466
