timepoints,scenario,specie,config,value
1751.5,high-overshoot,Land use,1234,
1751.5,high-overshoot,Equivalent effective stratospheric chlorine,1234,
1751.5,medium-extension,CO2 FFI,1234,0.009407378000000001
1751.5,medium-extension,CO2 AFOLU,1234,0.032976522
1751.5,medium-extension,CO2,1234,0.0423839
1751.5,medium-extension,CH4,1234,38.106144
1751.5,medium-extension,N2O,1234,0.989621407
1751.5,medium-extension,Sulfur,1234,2.262804817
1751.5,medium-extension,BC,1234,2.071971538
1751.5,medium-extension,OC,1234,15.18652207
1751.5,medium-extension,NH3,1234,6.588428808
1751.5,medium-extension,NOx,1234,19.19807705
1751.5,medium-extension,VOC,1234,59.69173298
1751.5,medium-extension,CO,1234,343.8530515
1751.5,medium-extension,CFC-11,1234,0.0
1751.5,medium-extension,CFC-12,1234,0.0
1751.5,medium-extension,CFC-113,1234,0.0
1751.5,medium-extension,CFC-114,1234,0.0
1751.5,medium-extension,CFC-115,1234,0.0
